sisulname,sisuladdr,tel,kind,lat,lng
사랑의 집,서울특별시 용산구 효창원로15길 24,02-715-9020,장애인지역사회재활시설,37.53635902,126.9535512
방이복지관,서울특별시 송파구 오금로11길 68,02-3432-0477,장애인지역사회재활시설,37.51464602,127.1141902
서울시각장애인복지관,서울특별시 송파구 삼학사로19길 27,02-422-8108,장애인지역사회재활시설,37.50611828,127.0940611
서울시립발달장애인복지관,서울특별시 동작구 여의대방로20길 33,02-840-1500,장애인지역사회재활시설,37.49538106,126.9189142
청음복지관,서울특별시 강남구 역삼1동 681-50,02-556-3493,장애인지역사회재활시설,37.5094059,127.0423579
마포장애인종합복지관,서울특별시 마포구 성산동 성산로4길 35,02-306-6212,장애인지역사회재활시설,37.56378928,126.9088543
다운복지관,서울특별시 노원구 화랑로 478,02-3296-2114,장애인지역사회재활시설,37.61894362,127.0803106
원광장애인종합복지관,서울특별시 중랑구 신내로 56,02-438-2691,장애인지역사회재활시설,37.60447047,127.0959157
성프란치스꼬장애인종합복지관,서울특별시 구로구 가리봉동 131-2,02-830-6500,장애인지역사회재활시설,37.48109483,126.8904962
성모자애복지관,서울특별시 강남구 헌릉로757길 35,02-341-19581,장애인지역사회재활시설,37.47056749,127.1193127
행복한 집,서울특별시 강서구 개화동로11길 3-12,02-2662-1815,장애인거주시설,37.57882392,126.8004754
나눔의집,서울특별시 양천구 목동로23길 34,02-2605-1666,장애인거주시설,37.52794454,126.859714
사랑의집,서울특별시 서초구 탑성말길 26,02-579-7582,장애인거주시설,37.45691811,127.0578269
행복한 집,서울특별시 구로구 개봉로15길 74-2,02-2066-8310,장애인거주시설,37.49007719,126.8518564
섬김의집,서울특별시 관악구 원신길 149,02-871-5425,장애인거주시설,37.46636553,126.9302371
꽃가람,서울특별시 광진구 자양로44길 141-3,02-455-9302,장애인거주시설,37.55167154,127.0958729
대린원,서울특별시 노원구 동일로248길 30,02-939-2298,장애인거주시설,37.68048373,127.0569292
동천의집,서울특별시 노원구 노원로18길 41,02-974-9577,장애인거주시설,37.64451236,127.0729257
삼성농아원,서울특별시 동작구 양녕로30길 19-4,02-823-2234,장애인거주시설,37.49919802,126.9466724
다니엘복지원,서울특별시 서초구 헌릉로468길 21-16,02-445-4892,장애인거주시설,37.4601639,127.0923191
늘편한집,서울특별시 노원구 중계로 163,02-933-5228,장애인거주시설,37.64983949,127.0807062
임마누엘집,서울특별시 송파구 양산로10길 26,02-407-0067,장애인거주시설,37.49145857,127.1466671
임마누엘보호작업시설,서울특별시 송파구 양산로10길 26,02-449-6956,장애인직업재활시설,37.49145857,127.1466671
우성장애인요양원,서울특별시 송파구 양산로8길 17,02-428-0871,장애인거주시설,37.49147067,127.1454754
신아재활원,서울특별시 송파구 양산로8길 17,02-400-4695,장애인거주시설,37.49147067,127.1454754
우성원,서울특별시 강동구 고덕로 295-45,02-428-0870,장애인거주시설,37.55773437,127.1585688
영락애니아의집,서울특별시 용산구 후암로4길 70,02-754-8507,장애인거주시설,37.54866112,126.9815323
사랑의 집,서울특별시 은평구 역말로10길 30-1,070-4652-6802,장애인지역사회재활시설,37.6092164,126.9238156
암사재활원,서울특별시 강동구 올림픽로 864,02-0441-0407,장애인거주시설,37.55796851,127.1314488
은평재활원,서울특별시 은평구 갈현로11길 30,02-385-2046,장애인거주시설,37.6056469,126.9063426
오틸리아 공동생활가정,서울특별시 강남구 학동로26길 15,02-346-10811,장애인거주시설,37.51243692,127.0298249
새빛바울의집,서울특별시 서초구 방배중앙로 97-1,02-533-9863,장애인거주시설,37.4880588,126.9883722
바르티매오공동생활가정,서울특별시 은평구 불광로9가길 4,02-722-0988,장애인거주시설,37.61655324,126.9314586
동천하우스5,서울특별시 중랑구 동일로104길 3-3,02-6084-5582,장애인거주시설,37.59017529,127.0804397
교남소망의집,서울특별시 강서구 까치산로22길 38,02-2602-3880,장애인거주시설,37.54797109,126.852349
베데스다의 집,서울특별시 노원구 중계로8길 39,02-3392-0265,장애인거주시설,37.6468125,127.0839983
베데스다장애인주간보호센터,서울특별시 노원구 공릉로58마길 27,02-3391-2126,장애인지역사회재활시설,37.63642382,127.0776425
아름다운,서울특별시 중랑구 상봉동 74,02-971-1767,장애인직업재활시설,37.59892569,127.0938938
신망애의 집,서울특별시 서초구 남부순환로342길 56-58,02-577-4186,장애인거주시설,37.47902966,127.0243441
강북구립장애인보호작업장,서울특별시 강북구 번2동 619-33,02-986-7733,장애인직업재활시설,37.62940092,127.0394967
용산구립장애인보호작업장,서울특별시 용산구 갈월동 71-20,02-711-7882,장애인직업재활시설,37.54790193,126.9714925
다니엘의 집 1호,서울특별시 서초구 염곡안길 19,02-597-9907,장애인거주시설,37.46233881,127.0515339
다니엘의 집 2호,서울특별시 서초구 염곡안길 19,02-581-5987,장애인거주시설,37.46233881,127.0515339
다니엘주간보호센터,서울특별시 서초구 헌릉로468길 21-16,02-445-8062,장애인지역사회재활시설,37.4601639,127.0923191
다니엘단기보호센터,서울특별시 서초구 헌릉로468길 21-16,02-445-8062,장애인거주시설,37.4601639,127.0923191
영락원,서울특별시 은평구 연서로35길 22,02-355-9550,장애인거주시설,37.62277318,126.9258824
사랑나눔주간보호시설,서울특별시 송파구 마천로51길 28,02-400-8460,장애인지역사회재활시설,37.49692108,127.1525833
다니엘직업재활원,서울특별시 서초구 헌릉로468길 21-16,02-445-4577,장애인직업재활시설,37.4601639,127.0923191
동천,서울특별시 노원구 노원로18길 41,02-974-2950,장애인직업재활시설,37.64451236,127.0729257
다모인,서울특별시 노원구 노원로 311 중계제1공단 301호,02-972-4361,장애인직업재활시설,37.64465811,127.070753
원광보호작업장,서울특별시 중랑구 신내로 56,02-438-2605,장애인직업재활시설,37.60447047,127.0959157
참좋은센터,서울특별시 중랑구 봉화산로56길 99-15,02-491-3773,장애인직업재활시설,37.60434682,127.0982616
신아보호작업장,서울특별시 송파구 양산로8길 17,02-400-1399,장애인직업재활시설,37.49147067,127.1454754
늘푸른나무복지관,서울특별시 강서구 허준로5길 37,02-3661-3164,장애인지역사회재활시설,37.56853632,126.8511172
조은세상,서울특별시 중랑구 동일로140길 31-21,02-439-9593,장애인직업재활시설,37.60460876,127.0807622
서울시립북부장애인종합복지관,서울특별시 노원구 덕릉로70가길 92,02-2092-1748,장애인지역사회재활시설,37.64253762,127.0569697
서울시남부장애인종합복지관,서울특별시 동작구 여의대방로20길 33,02-829-7100,장애인지역사회재활시설,37.49538106,126.9189142
금천장애인종합복지관,서울특별시 금천구 시흥대로101길 17,02-691-28000,장애인지역사회재활시설,37.4639691,126.8963336
볕바라기주간보호센터,서울특별시 금천구 금하로18길 8-1,02-866-1314,장애인지역사회재활시설,37.45225216,126.905021
데일리스보호작업시설,서울특별시 동대문구 천호대로83길 14,02-221-70328,장애인직업재활시설,37.56280914,127.0647305
번동코이노니아장애인보호작업시설,서울특별시 강북구 한천로115길 20,02-985-3609,장애인직업재활시설,37.63368559,127.0345342
소망의집,서울특별시 강북구 인수봉로64길 30-0,02-902-8335,장애인거주시설,37.63965634,127.0145454
삼성떡프린스,서울특별시 동작구 양녕로30길 19-4,02-823-2230,장애인직업재활시설,37.49919802,126.9466724
더 홈,서울특별시 노원구 중계로 163,02-930-4635,장애인거주시설,37.64983949,127.0807062
쉼터요양원,서울특별시 노원구 동일로248길 30,02-937-5057,장애인거주시설,37.68048373,127.0569292
서울특별시립평화로운집,서울특별시 은평구 갈현로15길 27-1,02-3156-6500,장애인거주시설,37.60788186,126.9070928
주몽재활원,서울특별시 강동구 상일동 179,070-8255-0315,장애인거주시설,37.54619614,127.1636344
소망제이앤피,서울특별시 강남구 언주로159길 15,02-3445-8450,장애인직업재활시설,37.52410639,127.0314327
은평기쁨의집,서울특별시 은평구 갈현로11길 30,02-388-0050,장애인거주시설,37.6056469,126.9063426
보담터,서울특별시 노원구 중계로 163 지하1층,02-935-0655,장애인직업재활시설,37.64983949,127.0807062
민들레울공동생활가정,서울특별시 은평구 갈현로11길 46,02-372-4398,장애인거주시설,37.60479886,126.9054022
시립서대문농아인복지관,서울특별시 서대문구 수색로4가길 23,02-3156-6699,장애인지역사회재활시설,37.57069615,126.9138002
승가원행복마을,서울특별시 성북구 개운사2길 13,02-921-6410,장애인거주시설,37.58864625,127.028357
라온클린패밀리,서울특별시 강동구 고덕로 295-45,02-3427-0876,장애인직업재활시설,37.55773437,127.1585688
용산구립장애인주간보호센터,서울특별시 용산구 한강대로 331,02-701-4282,장애인지역사회재활시설,37.54790166,126.9714991
두레네집공동생활가정,서울특별시 관악구 법원단지길 97-3,02-866-6155,장애인거주시설,37.47480335,126.9222114
중랑구립직업재활센터,서울특별시 중랑구 숙선옹주로9길 55,02-977-8291,장애인직업재활시설,37.6173579,127.0836634
송파인성장애인종합복지관,서울특별시 송파구 마천로61길 26,02-431-8881,장애인지역사회재활시설,37.49389464,127.1551803
사랑의복지관,서울특별시 서초구 강남대로65길 19,070-7727-2520,장애인지역사회재활시설,37.49983877,127.0239978
성북장애인복지관,서울특별시 성북구 화랑로 130,02-915-9200,장애인지역사회재활시설,37.60459871,127.0457199
한빛맹아원,서울특별시 강북구 삼양로73가길 47,02-989-6017,장애인거주시설,37.62789211,127.0157138
