고유번호,시설명,담당구,주소,연락처,홈페이지,추천수,주출입구 접근로 여부,장애인 전용 주차구역 여부,주출입구 높이차이 제거 여부,장애인용 승강기 여부,장애인 화장실 여부,장애인용 객실 이용가능 여부,장애인용 관람석 이용가능 여부,장애인 매표소 여부,시각장애인 편의서비스 여부,청각장애인 편의서비스 여부,안내 서비스 여부,휠체어 대여 여부
3695,길동 청산 입시학원(태영빌딩),강동구,서울시 강동구 양재대로  1548,02-488-4254,http://gangdong.highest21.com/,0,Y,Y,N,Y,N,N,N,N,N,N,N,N
2715,서울덕수초등학교,중구,서울시 중구 퇴계로22길 17,02-735-7225,www.deoksoo.es.kr/,0,Y,N,Y,Y,Y,N,N,N,N,N,N,N
2747,개명초등학교,구로구,서울시 구로구 개봉로1다길 16-9,02-2684-5117,www.kaemyong.es.kr/,0,Y,Y,N,N,Y,N,N,N,N,N,N,N
2749,토성초등학교,송파구,서울시 송파구 풍성로20길 44,02-475-5036,www.stosung.es.kr,0,Y,Y,Y,N,N,N,N,N,N,N,N,N
3376,숙명 여자 고등학교,강남구,서울시 강남구 남부순환로 2807,02-3462-5011,www.sookmyung.hs.kr,0,Y,Y,Y,Y,Y,N,N,N,N,N,N,N
2980,신봉초등학교,관악구,서울시 관악구 양녕로6나길 1,02-871-9616,www.sinbong.es.kr,0,Y,Y,Y,Y,Y,N,N,N,N,N,N,N
3341,명일여자고등학교,강동구,서울시 강동구 명일로 350,02-481-8191,http://www.myungil.hs.kr/,0,N,Y,N,Y,N,N,N,N,N,N,N,N
3262,신림고등학교,관악구,서울시 관악구 문성로 119,070-8611-9000,http://www.sillim.hs.kr/,0,N,Y,Y,Y,Y,N,N,N,N,N,N,N
5465,성산2-1공영주차장,마포구,서울시 마포구 모래내로 31,02-308-2366,,0,Y,Y,Y,N,N,N,Y,N,N,N,N,N
4379,행복나무어린이집,구로구,서울시 구로구 새말로9길 40,02-865-0509,,0,Y,Y,Y,N,N,N,N,N,N,N,N,N
5481,창동자동차운전전문학원,도봉구,서울시 도봉구 도봉로136길 61,02-907-7744,http://www.hidi.co.kr/,0,Y,Y,Y,N,Y,N,N,N,N,N,N,N
3400,상명고등학교,노원구,서울시 노원구 덕릉로 553,02-971-6211,http://www.sangmyung.hs.kr/,0,Y,Y,N,N,Y,N,N,N,N,N,N,N
2723,신가초등학교,송파구,서울시 송파구 송이로 75,02-401-4677,www.sinka.es.kr,0,Y,Y,N,N,Y,N,N,N,N,N,N,N
2730,매원초등학교,성북구,서울시 성북구 북악산로  870,02-922-6052,www.maewon.es.kr,0,N,Y,Y,N,Y,N,N,N,N,N,N,N
3667,이보영영어학원,양천구,서울시 양천구 등촌로 192,02-2645-0593,http://www.talkingclub.co.kr/deungchon1,0,Y,N,Y,N,Y,N,N,N,N,N,N,N
3671,E-Park에듀센터,중랑구,서울시 중랑구 신내로  71,02-3423-0579,,0,Y,Y,Y,Y,Y,N,N,N,N,N,N,N
3186,중대부속중학교,동작구,서울시 동작구 서달로 124,02-815-0142,www.cau.ms.kr,0,Y,Y,Y,N,Y,N,N,N,N,N,N,N
