고유번호,시설명,담당구,주소,연락처,주출입구 접근로 여부,장애인 전용 주차구역 여부,주출입구 높이차이 제거 여부,장애인용 승강기 여부,장애인 화장실 여부,장애인용 객실 이용가능 여부,장애인용 관람석 이용가능 여부,장애인 매표소 여부,시각장애인 편의서비스 여부,청각장애인 편의서비스 여부,안내 서비스 여부,휠체어 대여 여부
5233,뉴티파니관광호텔,강서구,서울시 강서구 남부순환로  196,02-2662-6118,Y,Y,Y,Y,N,N,N,N,N,N,N,N
4992,모텔 P.X,영등포구,서울시 영등포구 경인로  888-4,02-2636-2411,Y,N,Y,N,N,N,N,N,N,N,N,N
5192,호텔 더 디자이너스,강남구,서울시 강남구 테헤란로79길 7,02-568-8371,Y,Y,Y,Y,N,N,N,N,N,N,N,N
5196,이지호텔,강서구,서울시 강서구 화곡로  327,02-2694-0707,Y,Y,Y,Y,N,N,N,N,N,N,N,N
5250,마누호텔,중구,서울시 중구 퇴계로  19,02-777-0100,Y,N,Y,Y,Y,N,N,N,N,N,N,N
5125,초콜릿호텔,강서구,서울시 강서구 강서로5가길  24,02-2604-6222,Y,N,Y,N,N,N,N,N,N,N,N,N
5208,베스트웨스턴 호텔국도,중구,서울시 중구 을지로 164,02-6466-1234,Y,Y,N,Y,Y,N,N,N,N,N,N,N
5213,브라운관광호텔,성북구,서울시 성북구 보문로  78,02-926-6601,Y,Y,Y,Y,N,N,N,N,N,N,N,N
5058,호텔팝,종로구,서울시 종로구 수표로22길 16,02-764-1004,Y,N,Y,N,N,N,N,N,N,N,N,N
5071,비젼호텔,성동구,서울시 성동구 고산자로   277,02-2296-2244,Y,Y,Y,N,N,N,N,N,N,N,N,N
5857,가야관광,용산구,서울시 용산구 갈월동 98-11,,N,N,Y,N,N,N,N,N,N,N,N,N
5017,에이치호텔,서초구,서울시 서초구 효령로55길 51,02-582-9682,Y,N,Y,N,N,N,N,N,N,N,N,N
5038,까사,송파구,서울시 송파구 올림픽로34길 7,02-412-3535,Y,N,Y,N,N,N,N,N,N,N,N,N
5224,머큐어 서울 앰배서더 강남 쏘도베,강남구,서울시 강남구 테헤란로25길 10,02-2050-6000,Y,Y,Y,Y,Y,N,N,N,N,N,N,N
5054,아비숑모텔,종로구,서울시 종로구 수표로26길  7,02-3675-2112,Y,N,Y,N,N,N,N,N,N,N,N,N
4952,미라지,중랑구,서울시 중랑구 망우로52길 16,02-438-3001,Y,N,Y,N,N,N,N,N,N,N,N,N
4955,로데오모텔,성북구,서울시 성북구 동소문로23길 7-4,02-929-1762,Y,N,N,N,N,N,N,N,N,N,N,N
4985,첼로모텔,금천구,서울시 금천구 디지털로11길 5,02-865-7878,N,N,Y,N,N,N,N,N,N,N,N,N
5149,호텔 메이져,강남구,서울시 강남구 선릉로92길 35,02-3454-0231,Y,N,Y,N,N,N,N,N,N,N,N,N
5231,라마다 서울 호텔,강남구,서울시 강남구 봉은사로 410,02-6202-2000,Y,Y,Y,Y,Y,N,N,N,N,N,N,N
5247,코엑스 인터컨티넨탈 서울,강남구,서울시 강남구 봉은사로 524,02-3452-2500,Y,Y,Y,Y,Y,N,N,N,N,N,N,N
5142,파라오모텔,관악구,서울시 관악구 봉천로12길 31,02-872-3191,Y,N,Y,N,N,N,N,N,N,N,N,N
5222,렉싱턴호텔,영등포구,서울시 영등포구 국회대로76길 16,02-6670-7000,Y,N,Y,Y,N,N,N,N,N,N,N,N
5964,W 서울 워커힐,광진구,서울시 광진구 워커힐로 177 (광장동),,Y,Y,Y,N,N,N,N,N,N,N,N,N
