서울덕수초등학교,서울시 중구 퇴계로22길 17,02-735-7225
개명초등학교,서울시 구로구 개봉로1다길 16-9,02-2684-5117
숙명 여자 고등학교,서울시 강남구 남부순환로 2807,02-3462-5011
신봉초등학교,서울시 관악구 양녕로6나길 1,02-871-9616
신림고등학교,서울시 관악구 문성로 119,070-8611-9000
창동자동차운전전문학원,서울시 도봉구 도봉로136길 61,02-907-7744
상명고등학교,서울시 노원구 덕릉로 553,02-971-6211
신가초등학교,서울시 송파구 송이로 75,02-401-4677
매원초등학교,서울시 성북구 북악산로  870,02-922-6052
이보영영어학원,서울시 양천구 등촌로 192,02-2645-0593
E-Park에듀센터,서울시 중랑구 신내로  71,02-3423-0579
중대부속중학교,서울시 동작구 서달로 124,02-815-0142
금옥여자고등학교,서울시 양천구 신정로 213,02-2086-7507
전곡초등학교,서울시 동대문구 전농로 172,02-2242-6548
이튼학원,서울시 노원구 중계로 217,02-931-3303
기성학원,서울시 중랑구 신내로 62,
한앎학원,서울시 은평구 연서로 161,
정원유치원(제이엠어학원으로변경),서울시 송파구 백제고분로 36길-28,02-416-4003
열강학원,서울시 양천구 신목로 34,02-2655-0603
신당2동주민센터,서울시 중구 동호로15길 50,02-3396-6740
용산구청,서울시 용산구 녹사평대로 150,02-2199-6114
마리오타워,서울시 구로구 디지털로30길 28,02-853-8063
휘경공업고등학교,서울시 동대문구 겸재로 21,02-2216-3643
누원고,서울시 도봉구 마들로 849,02-3492-7594
목원초등학교,서울시 양천구 목동중앙로 204,02-2643-5771
용문 상담심리대학원,서울시 종로구 율곡로 154,02-763-7448
뉴타운장례식장,서울시 성북구 종암로 199,02-909-4444
방학3동주민센터,서울시 도봉구 시루봉로   94,02-2289-1507
디지털엠파이어,서울시 금천구 범안로  1130,
세곡초등학교,서울시 구로구 고척로33길 34,02-2613-5276
SJ 테크노빌,서울시 금천구 벚꽃로  278,
서대문구청,서울시 서대문구 연희로 248,02-330-1114
신한이노플렉스,서울시 금천구 가산디지털1로  149,
경찰청사,서울시 서대문구 통일로  97,
RID ENGLISH ACADEMY,서울시 강남구 도곡로 157,02-571-2185
노곡중,서울시 도봉구 노해로70길 95,02-996-5232
면북초등학교,서울시 중랑구 용마공원로5길 32,02-433-3338
강북우체국,서울시 강북구 솔매로50길 55,02-989-4770
배명중고등학교,서울시 송파구 삼학사로 11,02-414-5820
용산고등학교,서울시 용산구 두텁바위로 60,02-3706-6700
한남초등학교,서울시 용산구 한남대로 112,02-749-2371
미림학원(미림전산고교),서울시 관악구 호암로  546,02-872-4072
한빛맹학교,서울시 강북구 삼양로73가길 47,02-989-9135
교남학교,서울시 강서구 까치산로22길 38,02-2607-2456
예일유치원,서울시 강서구 강서로47길 126,02-2667-6767
연세대학교 첨단과학기술연구관,서울시 서대문구 연세로 50,02-1599-1885
서울홍은초등학교,서울시 서대문구 세검정로  105,02-391-2196
성동초등학교,서울시 광진구 자양로4길 63,02-447-2642
이대목동병원 병원동,서울시 양천구 안양천로 1071,02-2650-5114
미즈메디병원,서울시 강서구 강서로47가길  19,02-1588-2701
노원고등학교,서울시 노원구 노원로 586,02-937-0078
나누리병원,서울시 강서구 가로공원로  187,02-1688-9797
길동노인요양병원(동화빌딩 45층),서울시 강동구 천호대로  1165,02-483-6400
창1동치안센터,서울시 도봉구 해등로 45,
한성여자중학교,서울시 성북구 삼선교로16길  116,02-742-2542
양천고등학교,서울시 양천구 신정로14길 13,02-2605-5997
현대고등학교,서울시 강남구 압구정로 127,02-546-6323
서울공업고등학교,서울시 동작구 대방동1길 46,070-8640-3125
정상어학원,서울시 송파구 양재대로71길 1-14,02-417-0880
서울안산초등학교,서울시 서대문구 통일로 321,02-737-4265
서울연가초등학교,서울시 서대문구 증가로12가길 49-50,02-372-3044
송파공업고등학교,서울시 송파구 양산로 21,02-6711-0595
서울외국어고,서울시 도봉구 덕릉로66길 22,1670-1005
진관중학교,서울시 은평구 진관4로  36,02-383-5379
한국마사회창동지점,서울시 도봉구 노해로67길  14,
목동웨딩의전당,서울시 양천구 국회대로 272,
용신동주민센터,서울시 동대문구 천호대로37길 35,02-2171-6022
신수동복합청사,서울시 마포구 독막로 192,02-3153-6680
창광교회,서울시 서대문구 연세로2길 69,
마리오-2 패션타워,서울시 금천구 디지털로9길 23,02-2109-7000
에이스하이엔드타워5차,서울시 금천구 가산디지털1로  226,
강동청소년수련관,서울시 강동구 아리수로93길 47,02-6252-1300
청소년수련관,서울시 강서구 곰달래로57가길  26,02-2061-1318
메가벤처타워,서울시 영등포구 문래로20길   60,02-2632-4438
아연디지털타워,서울시 성동구 성수일로6길 33,
이화여자대학교 E.C.C(이화캠퍼스밸리),서울시 서대문구 이화여대길 52,02-3277-2114
선일이비즈니스고등학교,서울시 은평구 갈현로29길 27,02-352-8025
롯대백화점어린이집,서울시 종로구 북촌로5길 11,02-3674-5004
홍익어린이집,서울시 양천구 지양로9길 5,02-2607-4523
서울제일대학원대학교,서울시 강북구 인수봉로 225,02-994-8311
광희중학교,서울시 성동구 독서당로62길 46,02-2298-0250
신명중학교,서울시 강동구 명일로24길 33,02-477-9589
노드 잉글리아 에듀케이션 코리아,서울시 강남구 압구정로80길 31,
키스톤어린이집,서울시 용산구 원효로35길  37-7,
강남초등학교,서울시 동작구 강남초등길 15,02-824-4471
성신여대운정캠퍼스,서울시 강북구 도봉로76가길 55,02-920-7870
미양초등학교,서울시 강북구 솔샘로 195,02-989-9467
LG U+(KIDC),서울시 강남구 언주로 616,
상지초등학교,서울시 마포구 월드컵로42길  30,02-303-9009
망우초등학교,서울시 중랑구 망우로72길 49,02-2209-6323
연촌초등학교,서울시 노원구 공릉로58길 36,02-972-1676
서울 대방초등학교,서울시 영등포구 여의대방로35길 14,02-833-0083
재현중학교,서울시 노원구 덕릉로82길 64,02-932-4816
북서울중,서울시 도봉구 도봉로169가길 33,02-956-1004
새락골어린이공원화장실,서울시 은평구 은평로3가길 34,
가락1동주민센터,서울시 송파구 송파대로 35,02-2147-4450
동대문문화회관,서울시 동대문구 답십리로  210-9,02-2241-9300
응암3동주민센터,서울시 은평구 불광천길 410-17,02-351-5272
휘경문화웨딩원,서울시 동대문구 망우로 123,
시흥4동 청사,서울시 금천구 독산로36길 14,02-2627-2519
성내지구대,서울시 강동구 성내로 33,02-478-0880
공중화장실,서울시 도봉구 시루봉로6길 33,
둔촌1동 주민센터,서울시 강동구 양재대로84길 31,02-3425-7880
장위지구대,서울시 성북구 화랑로19길 83,02-915-1608
서울놀이마당,서울시 송파구 잠실동 47번지,
서울시도서관 (옛 서울청사),서울시 중구 태평로1가 31,
송파2동주민센터,서울시 송파구 송이로 32,02-2147-4330
시소모타워(강남물방울치과),서울시 강남구 삼성로 548,02-3288-4422/4433
모커리 병원(물리치료실),서울시 강남구 도곡로 218,02-1577-2575
유디 치과의원(현정빌딩),서울시 강남구 테헤란로 332,
서울보훈병원,서울시 강동구 진황도로61길  53,02-2225-1111
파워스빌딩(린산부인과),서울시 동대문구 답십리로 266,02-2244-1212
을지병원(의료동),서울시 노원구 공릉로 327,
하이마트,서울시 성동구 천호대로 356,02-2249-8880
홈플러스 가양점,서울시 강서구 양천로  431,02-2063-2080
첫단추조산원,서울시 성북구 동소문로  48,
새빛요양병원(윤빌딩),서울시 강서구 화곡로61길 109,02-2658-3929
이마트 묵동점,서울시 중랑구 동일로 932,02-2083-1234
국민대경상관,서울시 성북구 정릉로 77,02-910-4511
방송통신대,서울시 성동구 아차산로 12,02-460-6777
예일어린이집,서울시 은평구 은평로6길  11,02-358-7020
재미솔솔어린이집,서울시 송파구 동남로24길 9,02-403-3889
