고유번호,시설명,담당구,주소,연락처,주출입구 접근로 여부,장애인 전용 주차구역 여부,주출입구 높이차이 제거 여부,장애인용 승강기 여부,장애인 화장실 여부,장애인용 객실 이용가능 여부,장애인용 관람석 이용가능 여부,장애인 매표소 여부,시각장애인 편의서비스 여부,청각장애인 편의서비스 여부,안내 서비스 여부,휠체어 대여 여부
1124,롯데리아,은평구,서울시 은평구 응암로 229,02-308-6681,Y,Y,Y,N,N,N,N,N,N,N,N,N
1126,대창타운빌,구로구,서울시 구로구 개봉로23가길 70,,Y,Y,Y,N,N,N,N,N,N,N,N,N
1321,㈜젠 하이더 웨이-동남아음식,강남구,서울시 강남구 언주로168길  24,,Y,Y,N,N,N,N,N,N,N,N,N,N
1318,근린생활시설(생고기전문점취어당),노원구,서울시 노원구 노원로 447,,Y,Y,Y,N,N,N,N,N,N,N,N,N
1349,대원,성동구,서울시 성동구 고산자로26길 12,02-2295-5500,Y,Y,Y,N,N,N,N,N,N,N,N,N
1385,커피빈 압구정점(스마트 익스체인지 빌딩),강남구,서울시 강남구 도산대로49길 13,02-543-5922,Y,N,N,N,N,N,N,N,N,N,N,N
1396,파리크라샹,용산구,서울시 용산구 독서당로  78,,Y,Y,N,N,N,N,N,N,N,N,N,N
1138,최고집칼국수,도봉구,서울시 도봉구 덕릉로    268,02-995-5333,Y,N,N,N,N,N,N,N,N,N,N,N
1147,양지촌,중랑구,서울시 중랑구 망우로 184,,Y,Y,Y,N,N,N,N,N,N,N,N,N
1100,장L카페레스토랑,종로구,서울시 종로구 대학로10길 15-11,,Y,N,Y,N,N,N,N,N,N,N,N,N
1108,세종대왕숯불갈비,동작구,서울시 동작구 여의대방로 136,02-823-2517,Y,Y,N,N,N,N,N,N,N,N,N,N
1319,상하이짬뽕건물,서대문구,서울시 서대문구 명물길  76-5,,Y,Y,N,N,N,N,N,N,N,N,N,N
1333,오렌지팩토리-의류판매,서대문구,서울시 서대문구 증가로 141,02-302-2411,Y,Y,N,N,N,N,N,N,N,N,N,N
1326,돈촌삼겹살,중랑구,서울시 중랑구 사가정로51길 21,,N,Y,N,N,N,N,N,N,N,N,N,N
1166,상도갈비,동작구,서울시 동작구 매봉로 13,02-816-4085,Y,Y,Y,N,N,N,N,N,N,N,N,N
