고유번호,시설명,담당구,주소,연락처,주출입구 접근로 여부,장애인 전용 주차구역 여부,주출입구 높이차이 제거 여부,장애인용 승강기 여부,장애인 화장실 여부,장애인용 객실 이용가능 여부,장애인용 관람석 이용가능 여부,장애인 매표소 여부,시각장애인 편의서비스 여부,청각장애인 편의서비스 여부,안내 서비스 여부,휠체어 대여 여부
22,aA갤러리_aA디자인뮤지엄,마포구,와우산로17길 19-18,02-3143-7312,N,N,N,N,N,N,N,N,N,N,N,N
98,포스코미술관,강남구,테헤란로 440 포스코센터,02-3457-1665,Y,Y,N,Y,Y,N,N,N,Y,N,N,N
19,서울대공원,중구,경기도 과천시 대공원광장로 102,02-500-7335,Y,Y,Y,Y,Y,N,N,Y,N,N,Y,Y
105,서울대학교 미술관MOA,관악구,관악로 1,02-880-9504,Y,Y,Y,Y,Y,N,N,N,N,N,N,Y
156,옹기민속박물관,도봉구,삼양로 574-41,02-900-0900,N,N,N,N,N,N,N,N,N,N,N,N
159,트릭아이미술관,마포구,홍익로3길 20  서교프라자 B2,02-3144-6300,Y,Y,Y,Y,N,N,N,N,N,N,N,Y
174,전쟁기념관,용산구,이태원로 29,02-709-3139,Y,Y,Y,Y,Y,N,N,N,N,N,N,Y
181,경인미술관,종로구,인사동10길 11-4,02-733-4448,Y,Y,Y,N,N,N,N,N,N,N,N,Y
167,소마미술관,송파구,올림픽로 424,02-425-1077,Y,Y,Y,Y,Y,N,N,N,N,N,N,Y
172,문래동 예술촌,영등포구,문래동3가 예술 공단,,N,N,N,N,N,N,N,N,N,N,N,N
173,삼성미술관 리움,용산구,이태원로55길 60-16,02-2014-6900,Y,Y,Y,Y,Y,N,N,N,N,N,N,Y
179,디아갤러리,종로구,계동길 121-2,02-742-6030,N,N,N,N,N,N,N,N,N,N,N,N
183,한상수자수박물관,종로구,북촌로12길 29-1,02-744-1545,Y,Y,Y,N,N,N,N,N,N,N,N,Y
196,초전섬유퀼트박물관,중구,퇴계로18길 66 제일문화원 1층,02-753-4075,Y,Y,Y,N,N,N,N,N,N,N,N,Y
