di,location,x,y,info,tel
1,서울특별시 관악구 신림동 56-2,126.9452685,37.4555646,년중 09:00~17:00,02-877-5850
2,송파구 신천동 29-5,127.1060635,37.51459287,"평일 09:00~22:00, 주말 09:00~22:00",02-2147-2000
3,송파구 거여동 289-4,127.1427792,37.48992783,"평일 09:00~17:00(토,일, 공휴일 휴무)",02-2147-4843
4,송파구 방이동 52-2,127.114192,37.51468026,"평일 09:00~17:00(토,일, 공휴일 휴무)",02-3432-0477
5,송파구 마천동 183-94,127.1522218,37.49470254,년중 06:00~22:00,02-6311-5601
6,송파구 방이동 89-28,127.1311342,37.51656981,년중 06:00~22:00,02-6311-5551
7,송파구 신천동 7-4,127.1040701,37.51490837,년중 06:00~22:00,02-6311-8141
8,송파구 신천동 19,127.1107707,37.51698766,년중 06:00~22:00,02-6311-8131
9,송파구 가락동 184-23,127.118202,37.4929098,년중 06:00~22:00,02-6311-8171
10,송파구 석촌동 209,127.1056223,37.5066195,년중 06:00~22:00,02-6311-8151
11,송파구 장지동 596-21,127.1266885,37.47065929,년중 06:00~22:00,02-6311-8201
12,강남구 수서동 718-2,127.1049301,37.48896293,"평일 09:00~17:00(토,일, 공휴일 휴무)",02-3423-8570
13,강남구 일원동 712-3,127.0880018,37.49188922,"평일 09:00~17:00(토,일, 공휴일 휴무)",02-3423-8370
14,강남구 개포동 12-6,127.0737246,37.49209892,"평일 09:00~17:00(토,일, 공휴일 휴무)",02-3423-8470
15,강남구 역삼동 829-20,127.0332331,37.49535189,"평일 09:00~17:00(토,일, 공휴일 휴무)",02-3423-8620
16,강남구 개포동 182,127.0690616,37.48977892,"평일 09:00~17:00(토,일, 공휴일 휴무)",02-3423-7770
17,강남구 율현동 278-1,127.1070039,37.46907695,"평일 09:00~17:00(토,일, 공휴일 휴무)",02-3423-8670
18,강서구 방화동 452-5,126.8125652,37.57420717,"평일 09:00~17:00(토,일, 공휴일 휴무)",02-2662-3491
19,관악구 봉천동 661,126.932662,37.48815721,"평일 09:00~17:00(토,일, 공휴일 휴무)",02-879-4201
20,관악구 신림동 1694-7,126.9349586,37.47499978,"평일 09:00~17:00(토,일, 공휴일 휴무)",02-879-4741
21,관악구 봉천동 1539-1,126.941651,37.47911257,"평일 09:00~17:00(토,일, 공휴일 휴무)",02-879-4381
22,관악구 신림동 763-9,126.9155798,37.47621968,"평일 09:00~17:00(토,일, 공휴일 휴무)",02-879-4591
