location,x,y,info,tel
서울특별시 관악구 신림동 56-2,126.9452685,37.4555646,년중 09:00~17:00,02-877-5850
송파구 신천동 29-5,127.106063463,37.514592869,"평일 09:00~22:00, 주말 09:00~22:00",02-2147-2000
송파구 거여동 289-4,127.142779226,37.489927829,"평일 09:00~17:00(토,일, 공휴일 휴무)",02-2147-4843
송파구 방이동 52-2,127.114191996,37.514680264,"평일 09:00~17:00(토,일, 공휴일 휴무)",02-3432-0477
송파구 마천동 183-94,127.152221819,37.494702538,년중 06:00~22:00,02-6311-5601
송파구 방이동 89-28,127.131134168,37.516569807,년중 06:00~22:00,02-6311-5551
송파구 신천동 7-4,127.104070134,37.51490837,년중 06:00~22:00,02-6311-8141
송파구 신천동 19,127.11077074,37.516987662,년중 06:00~22:00,02-6311-8131
송파구 가락동 184-23,127.118202041,37.4929098,년중 06:00~22:00,02-6311-8171
송파구 석촌동 209,127.105622251,37.506619496,년중 06:00~22:00,02-6311-8151
송파구 장지동 596-21,127.126688517,37.470659294,년중 06:00~22:00,02-6311-8201
강남구 수서동 718-2,127.104930072,37.488962931,"평일 09:00~17:00(토,일, 공휴일 휴무)",02-3423-8570
강남구 일원동 712-3,127.088001846,37.491889219,"평일 09:00~17:00(토,일, 공휴일 휴무)",02-3423-8370
강남구 개포동 12-6,127.073724564,37.492098919,"평일 09:00~17:00(토,일, 공휴일 휴무)",02-3423-8470
강남구 역삼동 829-20,127.033233081,37.495351887,"평일 09:00~17:00(토,일, 공휴일 휴무)",02-3423-8620
강남구 개포동 182,127.069061618,37.489778918,"평일 09:00~17:00(토,일, 공휴일 휴무)",02-3423-7770
강남구 율현동 278-1,127.107003851,37.46907695,"평일 09:00~17:00(토,일, 공휴일 휴무)",02-3423-8670
강서구 방화동 452-5,126.812565224,37.574207173,"평일 09:00~17:00(토,일, 공휴일 휴무)",02-2662-3491
관악구 봉천동 661,126.932662019,37.48815721,"평일 09:00~17:00(토,일, 공휴일 휴무)",02-879-4201
관악구 신림동 1694-7,126.93495861,37.474999775,"평일 09:00~17:00(토,일, 공휴일 휴무)",02-879-4741
관악구 봉천동 1539-1,126.941651044,37.479112565,"평일 09:00~17:00(토,일, 공휴일 휴무)",02-879-4381
관악구 신림동 763-9,126.915579759,37.476219675,"평일 09:00~17:00(토,일, 공휴일 휴무)",02-879-4591
관악구 신림동 1735-5,126.918721366,37.461530178,"평일 09:00~17:00(토,일, 공휴일 휴무)",02-879-4651
관악구 봉천동 1624-24,126.95837234,37.476333986,"평일 09:00~17:00(토,일, 공휴일 휴무)",02-879-4411
관악구 신림동 492-4,126.9180808,37.485419908,"평일 09:00~17:00(토,일, 공휴일 휴무)",02-879-4531
관악구 봉천동 1512-7,126.949709351,37.48418855,"평일 09:00~17:00(토,일, 공휴일 휴무)",02-879-4291
관악구 봉천동 1712-9,126.948217881,37.489548098,"평일 09:00~17:00(토,일, 공휴일 휴무)",02-879-4261
관악구 신림동 1528,126.932939364,37.470107071,"평일 09:00~17:00(토,일, 공휴일 휴무)",02-879-4771
관악구 남현동 1086-1,126.977893361,37.474578443,"평일 09:00~17:00(토,일, 공휴일 휴무)",02-879-4471
관악구 신림동 1439-3,126.927095857,37.487414658,"평일 09:00~17:00(토,일, 공휴일 휴무)",02-879-4501
관악구 신림동 1601-3,126.927301898,37.48157634,"평일 09:00~17:00(토,일, 공휴일 휴무)",02-879-4711
관악구 봉천동 1670-7,126.95704284,37.480651565,"평일 09:00~17:00(토,일, 공휴일 휴무)",02-879-4351
관악구 봉천동 1570-1,126.951502613,37.478265598,"평일 09:00~22:00, 주말 09:00~22:00",02-879-5000
관악구 봉천동 1000,126.958455185,37.492263767,"평일 09:00~17:00(토,일, 공휴일 휴무)",02-879-4321
관악구 신림동 568-27,126.907776977,37.482557884,"평일 09:00~17:00(토,일, 공휴일 휴무)",02-879-4561
관악구 신림동 633-56,126.921672102,37.470930965,"평일 09:00~17:00(토,일, 공휴일 휴무)",02-879-4621
관악구 봉천동 1635-40,126.965304002,37.475112279,"평일 09:00~17:00(토,일, 공휴일 휴무)",02-879-4441
관악구 봉천동 905-29,126.942407483,37.485307241,"평일 09:00~17:00(토,일, 공휴일 휴무)",02-879-4231
관악구 신림동 1516,126.936932973,37.470591937,"평일 09:00~17:00(토,일, 공휴일 휴무)",02-879-4801
관악구 신림동 1641-65,126.931268711,37.479803675,"평일 09:00~17:00(토,일, 공휴일 휴무)",02-879-4681
관악구 봉천동 1570-1,126.951502613,37.478265598,"평일 09:00~17:00(토,일, 공휴일 휴무)",02-881-5547
서울특별시 구로구 구로동 1213,126.8951964,37.492563,년중 06:00~22:00,02-6110-2331
서울특별시 구로구 온수동 109-7,126.8241758,37.49248,년중 06:00~22:00,02-1544-7788
금천구 가산동 144-3,126.89172645,37.476876963,"평일 09:00~17:00(토,일, 공휴일 휴무)",02-2627-2501
금천구 독산1동 289-5,126.897040031,37.470206728,"평일 09:00~17:00(토,일, 공휴일 휴무)",02-2627-2503
금천구 독산2동 1035-13,126.899742355,37.466060941,"평일 09:00~17:00(토,일, 공휴일 휴무)",02-2627-2505
금천구 독산동 973-17,126.903163055,37.475147811,"평일 09:00~17:00(토,일, 공휴일 휴무)",02-2627-2507
금천구 독산동 1022,126.902128811,37.467554857,"평일 09:00~17:00(토,일, 공휴일 휴무)",02-2627-2509
금천구 시흥1동 886-6,126.903235205,37.453554832,"평일 09:00~17:00(토,일, 공휴일 휴무)",02-2627-2514
금천구 시흥2동 267-9,126.914485759,37.449610462,"평일 09:00~17:00(토,일, 공휴일 휴무)",02-2627-2515
금천구 시흥3동 956-3,126.905812516,37.440272544,"평일 09:00~17:00(토,일, 공휴일 휴무)",02-2627-2517
금천구 시흥4동 812-38,126.90613072,37.458940447,"평일 09:00~17:00(토,일, 공휴일 휴무)",02-2627-2519
금천구 시흥동 832-14,126.908275999,37.452355805,"평일 09:00~17:00(토,일, 공휴일 휴무)",02-2627-2521
금천구 독산1동 1011-1,126.896312599,37.463973329,"평일 09:00~17:00(토,일, 공휴일 휴무)",02-6912-8000
은평구 수색동 136-50,126.897522825,37.584170599,"평일 09:00~17:00(토,일, 공휴일 휴무)",02-351-5422
은평구 응암1동 96-3,126.926753962,37.600757147,"평일 09:00~17:00(토,일, 공휴일 휴무)",02-351-5212
은평구 구산동 191-1,126.906793795,37.605674381,"평일 09:00~17:00(토,일, 공휴일 휴무)",02-351-3982
중구 예관동 115-6,126.9976253,37.5639254,"평일 09:00~22:00, 주말 09:00~22:00",02-3396-4114
중구 을지로6가 18-14,127.0062518,37.5684713,"평일 09:00~17:00(토,일, 공휴일 휴무)",02-3396-4100
중구 신당동 160-2,127.02279125,37.565083928,"평일 09:00~17:00(토,일, 공휴일 휴무)",02-2237-2471
중구 태평로1가 31,126.978194277,37.566584921,"평일 09:00~22:00, 주말 09:00~22:00",02-120
서울특별시 중구 서소문동 37,126.9757139,37.5644431,"평일 09:00~22:00, 주말 09:00~22:00",02-120
서울특별시 중구 태평로1가 31,126.9778805,37.5663212,"화~일요일 09:00~18:00(월요일, 공휴일 휴무)",02-2133-0300
성동구 행당동 7,127.036729993,37.563210622,"평일 09:00~22:00, 주말 09:00~22:00",02-2286-5114
서울특별시 성동구 홍익동 16-15,127.0332304,37.5670415,"평일 09:00~17:00(토,일, 공휴일 휴무)",02-2286-7000
성동구 마장동 527-2,127.033646939,37.570380016,"평일 09:00~17:00(토,일, 공휴일 휴무)",02-2296-8307
성동구 마장동 527-2,127.033646939,37.570380016,"평일 09:00~17:00(토,일, 공휴일 휴무)",02-2290-3100
성동구 성수동1가 656-323,127.046952284,37.545430305,"평일 09:00~17:00(토,일, 공휴일 휴무)",02-2204-9970
서울특별시 성동구 행당동 168-200,127.0387918,37.5612929,년중 06:00~22:00,02-6110-2081
성동구 성수동2가 333-16,127.052971322,37.539697617,년중 09:00~17:00(마트 휴무일 제외),02-3408-1234
성동구 마장동 780-2,127.045386667,37.566294761,"평일 09:00~17:00(토,일, 공휴일 휴무)",02-2286-7241
성동구 성수2가1동 333-134,127.054058778,37.53952028,"평일 09:00~17:00(토,일, 공휴일 휴무)",02-2286-7461
강동구 강일동 678,127.173888304,37.565036486,"평일 09:00~17:00(토,일, 공휴일 휴무)",02-3425-7400
강동구 고덕동 494-5,127.151489409,37.55727494,"평일 09:00~17:00(토,일, 공휴일 휴무)",02-3425-7520
강동구 고덕2동 226-4,127.164361577,37.560549148,"평일 09:00~17:00(토,일, 공휴일 휴무)",02-3425-7550
강동구 길동 103-1,127.146234389,37.539219861,"평일 09:00~17:00(토,일, 공휴일 휴무)",02-3425-7850
강동구 둔촌1동 172-5,127.136703872,37.523430674,"평일 09:00~17:00(토,일, 공휴일 휴무)",02-3425-7880
