id,location,x,info,tel,y
1,?쒖슱?밸퀎??愿?낃뎄 ?좊┝??56-2,126.9452685,?꾩쨷 09:00~17:00,02-877-5850,37.4555646
2,?≫뙆援??좎쿇??29-5,127.1060635,"?됱씪 09:00~22:00, 二쇰쭚 09:00~22:00",02-2147-2000,37.51459287
3,?≫뙆援?嫄곗뿬??289-4,127.1427792,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),02-2147-4843,37.48992783
4,?≫뙆援?諛⑹씠??52-2,127.114192,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),02-3432-0477,37.51468026
5,?≫뙆援?留덉쿇??183-94,127.1522218,?꾩쨷 06:00~22:00,02-6311-5601,37.49470254
6,?≫뙆援?諛⑹씠??89-28,127.1311342,?꾩쨷 06:00~22:00,02-6311-5551,37.51656981
7,?≫뙆援??좎쿇??7-4,127.1040701,?꾩쨷 06:00~22:00,02-6311-8141,37.51490837
8,?≫뙆援??좎쿇??19,127.1107707,?꾩쨷 06:00~22:00,02-6311-8131,37.51698766
9,?≫뙆援?媛?쎈룞 184-23,127.118202,?꾩쨷 06:00~22:00,02-6311-8171,37.4929098
10,?≫뙆援??앹큿??209,127.1056223,?꾩쨷 06:00~22:00,02-6311-8151,37.5066195
11,?≫뙆援??μ???596-21,127.1266885,?꾩쨷 06:00~22:00,02-6311-8201,37.47065929
12,媛뺣궓援??섏꽌??718-2,127.1049301,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),02-3423-8570,37.48896293
13,媛뺣궓援??쇱썝??712-3,127.0880018,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),02-3423-8370,37.49188922
14,媛뺣궓援?媛쒗룷??12-6,127.0737246,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),02-3423-8470,37.49209892
15,媛뺣궓援???궪??829-20,127.0332331,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),02-3423-8620,37.49535189
16,媛뺣궓援?媛쒗룷??182,127.0690616,?됱씪 09:00~17:00(???? 怨듯쑕???대Т),02-3423-7770,37.48977892
